customer_id,count,country,state,city,zip_code,lat_long,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_value,churn_score,cltv,churn_reason,age_group,monthly_spend_category,tenure_group,high_value_customer,cltv_segment,churn_risk,payment_mode,internet_category,service_count,engagement_score,customer_status,location,avg_revenue_per_month,coordinates,churn_reason_category,loyalty_level,customer_segment
3668-QPYBK,1,United States,California,Los Angeles,90003,"33.964131, -118.272783",33.964131,-118.272783,Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,86,3239,Competitor made better offer,Adult,Medium,0-12 Months,No,Bronze,High,Offline,DSL,3,48.19,Inactive,"Los Angeles, California",54.075,"(33.964131, -118.272783)",Churned,New,At Risk
9237-HQITU,1,United States,California,Los Angeles,90005,"34.059281, -118.30742",34.059281,-118.30742,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,67,2701,Moved,Adult,High,0-12 Months,No,Bronze,Medium,Online,Fiber,1,32.81,Inactive,"Los Angeles, California",75.825,"(34.059281, -118.30742)",Churned,New,Standard
9305-CDSKC,1,United States,California,Los Angeles,90006,"34.048013, -118.293953",34.048013,-118.293953,Female,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,86,5372,Moved,Adult,High,0-12 Months,Yes,Gold,High,Online,Fiber,5,81.92,Inactive,"Los Angeles, California",102.5625,"(34.048013, -118.293953)",Churned,New,VIP At Risk
7892-POOKP,1,United States,California,Los Angeles,90010,"34.062125, -118.315709",34.062125,-118.315709,Female,No,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,84,5003,Moved,Adult,High,24-48 Months,Yes,Gold,High,Online,Fiber,6,91.23,Inactive,"Los Angeles, California",108.78750000000001,"(34.062125, -118.315709)",Churned,Regular,VIP At Risk
0280-XJGEX,1,United States,California,Los Angeles,90015,"34.039224, -118.266293",34.039224,-118.266293,Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,89,5340,Competitor had better devices,Adult,High,48-72 Months,Yes,Gold,High,Online,Fiber,6,103.0,Inactive,"Los Angeles, California",102.78163265306122,"(34.039224, -118.266293)",Churned,Loyal,VIP At Risk
4190-MFLUW,1,United States,California,Los Angeles,90020,"34.066367, -118.309868",34.066367,-118.309868,Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,78,5925,Competitor offered higher download speeds,Adult,Medium,0-12 Months,Yes,Platinum,High,Online,DSL,3,78.25,Inactive,"Los Angeles, California",52.835,"(34.066367, -118.309868)",Churned,New,VIP At Risk
8779-QRDMV,1,United States,California,Los Angeles,90022,"34.02381, -118.156582",34.02381,-118.156582,Male,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,100,5433,Competitor offered more data,Senior Citizen,Medium,0-12 Months,Yes,Platinum,High,Online,DSL,2,64.73,Inactive,"Los Angeles, California",39.65,"(34.02381, -118.156582)",Churned,New,VIP At Risk
1066-JKSGK,1,United States,California,Los Angeles,90024,"34.066303, -118.435479",34.066303,-118.435479,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,92,4832,Competitor made better offer,Adult,Low,0-12 Months,Yes,Gold,High,Offline,No Internet,1,53.72,Inactive,"Los Angeles, California",20.15,"(34.066303, -118.435479)",Churned,New,VIP At Risk
6467-CHFZW,1,United States,California,Los Angeles,90028,"34.099869, -118.326843",34.099869,-118.326843,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,77,5789,Competitor had better devices,Adult,High,24-48 Months,Yes,Platinum,High,Online,Fiber,5,101.69,Inactive,"Los Angeles, California",101.04574468085106,"(34.099869, -118.326843)",Churned,Loyal,VIP At Risk
8665-UTDHZ,1,United States,California,Los Angeles,90029,"34.089953, -118.294824",34.089953,-118.294824,Male,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,97,2915,Competitor had better devices,Adult,Low,0-12 Months,No,Bronze,High,Online,DSL,1,34.55,Inactive,"Los Angeles, California",30.2,"(34.089953, -118.294824)",Churned,New,At Risk
