customer_id,count,country,state,city,zip_code,lat_long,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_value,churn_score,cltv,churn_reason,age_group,monthly_spend_category,tenure_group,high_value_customer,cltv_segment,churn_risk,payment_mode,internet_category,service_count,engagement_score,customer_status,location,avg_revenue_per_month,coordinates,churn_reason_category,loyalty_level,customer_segment
2564,1,0,0,562,90003,327,33.964131,-118.272783,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15,1,1,86,3239,3,0,2,0,0,0,0,0,0,3,48.19,1,562,54.075,327,0,2,0
6511,1,0,0,562,90005,405,34.059281,-118.30742,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,1,1,67,2701,13,0,0,0,0,0,2,1,1,1,32.81,1,562,75.825,405,0,2,1
6551,1,0,0,562,90006,393,34.048013,-118.293953,0,0,0,1,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,820.5,1,1,86,5372,13,0,0,0,1,1,0,1,1,5,81.92,1,562,102.5625,393,0,2,3
5604,1,0,0,562,90010,410,34.062125,-118.315709,0,0,1,1,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,3046.05,1,1,84,5003,13,0,0,2,1,1,0,1,1,6,91.23,1,562,108.78750000000001,410,0,3,3
174,1,0,0,562,90015,385,34.039224,-118.266293,1,0,0,1,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5036.3,1,1,89,5340,2,0,0,3,1,1,0,1,1,6,103.0,1,562,102.78163265306122,385,0,1,3
2937,1,0,0,562,90020,416,34.066367,-118.309868,0,0,1,0,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35,1,1,78,5925,4,0,2,0,1,2,0,1,0,3,78.25,1,562,52.835,416,0,2,3
6207,1,0,0,562,90022,367,34.02381,-118.156582,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,39.65,1,1,100,5433,5,1,2,0,1,2,0,1,0,2,64.73,1,562,39.65,367,0,2,3
723,1,0,0,562,90024,415,34.066303,-118.435479,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,20.15,1,1,92,4832,3,0,1,0,1,1,0,0,2,1,53.72,1,562,20.15,415,0,2,3
4584,1,0,0,562,90028,447,34.099869,-118.326843,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4749.15,1,1,77,5789,2,0,0,2,1,2,0,1,1,5,101.69,1,562,101.04574468085106,447,0,1,3
6119,1,0,0,562,90029,440,34.089953,-118.294824,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,30.2,1,1,97,2915,2,0,1,0,0,0,0,1,0,1,34.55,1,562,30.2,440,0,2,0
6199,1,0,0,562,90032,428,34.078821,-118.177576,0,0,0,0,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,1093.1,1,1,74,3022,4,0,2,1,0,0,0,0,0,3,52.019999999999996,1,562,64.3,428,0,3,0
4292,1,0,0,562,90039,462,34.110845,-118.259595,1,0,0,1,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,316.9,1,1,66,2454,4,0,2,0,0,0,2,1,1,1,31.54,1,562,63.379999999999995,462,0,2,1
